id ymd run task_version session_time
10185 20120104 1 10AV 10:03:10
10185 20120104 2 4VA 10:27:42
10185 20120104 3 5VA 10:10:52
10185 20120104 4 7AV 10:18:14
10186 20071130 1 1AV 17:57:54
10186 20071130 2 7AV 17:42:44
10186 20071130 3 7VA 18:05:20
10186 20071130 4 9VA 17:50:37
10186 20100310 1 12VA 17:26:28
10186 20100310 2 3AV 17:02:46
10186 20100310 3 4AV 17:19:02
10186 20100310 4 4VA 17:12:01
10187 20051215 1 2AV 17:56:29
10187 20051215 2 6VA 17:48:53
10187 20051215 3 8AV 17:33:22
10187 20051215 4 8VA 17:41:24
10187 20070125 1 11AV 17:07:59
10187 20070125 2 2VA 17:15:10
10187 20070125 3 5VA 16:52:40
10187 20070125 4 9AV 17:00:44
10187 20080111 1 11VA 16:44:58
10187 20080111 2 6AV 16:22:22
10187 20080111 3 7AV 16:37:32
10187 20080111 4 9VA 16:29:59
10187 20090204 1 11VA 17:25:46
10187 20090204 2 6AV 17:11:53
10187 20090204 3 7AV 17:18:46
10187 20090204 4 8VA 17:04:13
10187 20100105 1 1AV 17:23:00
10187 20100105 2 3AV 17:15:52
10187 20100105 3 5VA 17:30:04
10187 20100105 4 8VA 17:08:25
10188 20071017 1 1VA 17:23:02
10188 20071017 2 2AV 17:29:58
10188 20071017 3 3AV 17:15:59
10188 20071017 4 4VA 17:08:41
10188 20090115 1 3VA 16:04:27
10188 20090115 2 4AV 16:11:28
10188 20090115 3 4VA 15:56:48
10188 20090115 4 5AV 15:49:52
10188 20091015 1 12AV 13:31:12
10188 20091015 2 4VA 13:17:05
10188 20091015 3 5AV 13:24:25
10188 20091015 4 9VA 13:38:40
10189 20060207 1 2AV 16:58:33
10189 20060207 2 4VA 16:35:54
10189 20060207 3 7AV 16:43:58
10189 20060207 4 7VA 16:51:18
10189 20070607 1 10VA 16:26:31
10189 20070607 2 6AV 16:34:02
10189 20070607 3 6VA 16:41:21
10189 20070607 4 7AV 16:48:33
10192 20080119 1 1VA 11:39:01
10192 20080119 2 4AV 11:31:18
10192 20080119 3 5AV 11:53:12
10192 20080119 4 5VA 11:46:05
10192 20090314 1 4AV 10:40:17
10192 20090314 2 4VA 10:54:55
10192 20090314 3 5AV 10:47:44
10192 20090314 4 9VA 10:33:01
10192 20100112 1 11AV 17:39:52
10192 20100112 2 5AV 17:32:43
10192 20100112 3 7VA 17:47:02
